A[32] B[32] Cin[1] V[1] C[32]
-1281760307 -1356781539 0 1 1656425450
531477495 -312581072 1 0 218896424
1902907310 1001682020 0 1 -1390377966
2006466997 -1202476072 0 0 803990925
-1344152415 -1351106957 1 1 1599707925
494367989 -2017300629 0 0 -1522932640
1690003113 -1207820905 1 0 482182209
-1686425390 -961521844 0 1 1647020062
931733331 1409358034 1 1 -1953875930
2131278646 2098706069 0 1 -64982581
1415086243 -1795561808 1 0 -380475564
-961294965 1747388901 1 0 786093937
-1701139990 758646191 0 0 -942493799
-1901105667 2068432027 0 0 167326360
212009361 1485134978 1 0 1697144340
705927949 -61830721 0 0 644097228
1049361201 -1568643252 0 0 -519282051
-1612245023 2052573438 1 0 440328416
-2105231039 -1580978907 0 1 608757350
402103408 510231123 0 0 912334531
1175075666 -2030481864 1 0 -855406197
-1720559321 987954583 0 0 -732604738
-968654882 738025410 1 0 -230629471
-1887624781 1783219523 1 0 -104405257
-1071758704 -94246703 0 0 -1166005407
1925258915 -413354432 1 0 1511904484
2085519674 2042907826 0 1 -166539796
409012224 -1186728112 1 0 -777715887
-510076101 1815703352 1 0 1305627252
746910866 401406593 1 0 1148317460
-519490444 1196452214 0 0 676961770
978234798 -124209707 0 0 854025091
520462220 -1779747577 0 0 -1259285357
-1437143805 -1507470827 0 1 1350352664
145946828 -1867530527 1 0 -1721583698
45100494 38022620 0 0 83123114
-131643008 1389208876 1 0 1257565869
1167154286 489066693 0 0 1656220979
2104205787 -1195855456 0 0 908350331
-1671860412 -102161524 0 0 -1774021936
-1496538825 1960954870 0 0 464416045
53216597 1886489406 0 0 1939706003
-873653295 -754678915 1 0 -1628332209
736054969 496771237 1 0 1232826207
-802006679 216359176 1 0 -585647502
-1782945417 -1463670545 0 1 1048351334
834963480 -1689032272 1 0 -854068791
-1190294099 -320976720 0 0 -1511270819
1595932401 -1970212076 0 0 -374279675
2006582741 825470033 1 1 -1462914521
-48316496 2074814665 1 0 2026498170
415345710 1311839662 1 0 1727185373
-360972435 1465281043 0 0 1104308608
-327544550 -1371582087 1 0 -1699126636
-1509397224 -1667493711 0 1 1118076361
640734672 1546149905 1 1 -2108082718
-397869029 -1478217284 1 0 -1876086312
-1687506077 -1093840499 0 1 1513620720
-1081847305 -631508491 1 0 -1713355795
230283293 -2071369817 1 0 -1841086523
1047488952 857430977 1 0 1904919930
1001122301 813072803 1 0 1814195105
-1103279109 -1130109625 0 1 2061578562
902678046 -1963599312 1 0 -1060921265
-1186159859 180841870 1 0 -1005317988
228477548 -571202122 0 0 -342724574
-1463333301 1937590211 0 0 474256910
456824566 -266287568 0 0 190536998
173857904 -302528127 1 0 -128670222
-1562123420 202537312 1 0 -1359586107
-714643382 -1616578032 1 1 1963745883
299419262 -1181657071 0 0 -882237809
-1143640701 349748450 0 0 -793892251
-1222587527 2078550053 0 0 855962526
2121525972 371856189 0 1 -1801585135
-280910051 -1001418304 1 0 -1282328354
-1556001982 1810836217 1 0 254834236
-790186111 -103330136 0 0 -893516247
-1696331248 -1652898387 0 1 945737661
-183987714 -1532341702 0 0 -1716329416
1894901782 -28622379 0 0 1866279403
-1177104405 1993598588 0 0 816494183
191014588 727452714 1 0 918467303
-317174731 1437819466 1 0 1120644736
-923598422 -1555711844 0 1 1815657030
-1954108786 638590007 0 0 -1315518779
1927620987 1549991244 0 1 -817355065
-844902624 2133366094 0 0 1288463470
-819527894 -465616378 1 0 -1285144271
2107158590 662884227 1 1 -1524924478
-2014807073 -872026474 0 1 1408133749
-697332312 -828875836 1 0 -1526208147
-1717171021 2120266709 0 0 403095688
1991015583 42950844 0 0 2033966427
1974721160 1044701447 0 1 -1275544689
1575129146 -1753478967 0 0 -178349821
-62859745 8914128 0 0 -53945617
1097714875 -2017566283 0 0 -919851408
712244073 1394543720 0 0 2106787793
-649105389 168947999 0 0 -480157390
-569260580 1749304231 1 0 1180043652
1022387823 -990845201 1 0 31542623
1663791909 1872966708 0 1 -758208679
-1695799131 -261010471 1 0 -1956809601
-2042750681 -270064934 0 1 1982151681
-769810405 -974482397 1 0 -1744292801
-114799032 1738651740 1 0 1623852709
1467890303 288448439 1 0 1756338743
-1159663885 -1828588731 1 1 1306714681
469886258 534494396 0 0 1004380654
2051223616 2079179367 0 1 -164564313
675197337 1356492686 1 0 2031690024
1851430629 -1166469212 0 0 684961417
-255036019 -1904920532 0 1 2135010745
1237749906 -1486750797 0 0 -249000891
-306263627 -807197296 0 0 -1113460923
402475155 448930169 0 0 851405324
1533591126 855976351 0 1 -1905399819
1263403911 -1832453163 1 0 -569049251
-2029391701 58309350 1 0 -1971082350
-1622292704 -2099484388 0 1 573190204
355107357 -1158196940 1 0 -803089582
-1384346010 107808414 0 0 -1276537596
-24020972 462290455 0 0 438269483
2037128900 -215141894 1 0 1821987007
-1713397696 -284475259 0 0 -1997872955
-2080571610 1202109394 0 0 -878462216
-1163013901 1239577525 0 0 76563624
1449708338 -1293670074 0 0 156038264
1996516352 1106151835 0 1 -1192299109
1786793358 -1022368929 1 0 764424430
1587309074 -521252395 1 0 1066056680
-1016616191 719231131 1 0 -297385059
-1477460886 -1550033077 0 1 1267473333
1809506004 -1917343186 0 0 -107837182
1941327729 1725368698 0 1 -628270869
393504064 1392310657 1 0 1785814722
214999361 1951464861 1 1 -2128503073
1167822907 -25273843 1 0 1142549065
-508034425 -1951921222 0 1 1835011649
-1394790576 686237619 0 0 -708552957
605199237 1454954017 1 0 2060153255
1018423383 -1652616691 0 0 -634193308
-1505210608 -507458067 1 0 -2012668674
-364401475 -1670528499 1 0 -2034929973
-1390925669 -1577171576 0 1 1326870051
-821698943 -352918556 1 0 -1174617498
1612318021 -233513254 0 0 1378804767
-1882014913 1930333199 0 0 48318286
-604632106 -1476659019 0 0 -2081291125
